ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References
196,3,6,tlamey,來嘗試,297,297
197,3,6,sebiray,溜滑梯,294,294
198,3,6,karow ruma,爬杆,295,295
199,3,6,slokit,吊,295,295
200,3,6,ʼbo,桿子,,
201,3,7,ini,沒有,175;215,175;215
202,3,7,morow,骯髒,300,300
203,3,7,cmyax,亮,301,301
204,3,7,glabang,寬敞,301,301
205,3,7,lngan,椅子,303,303
206,3,7,teribi,電視,303,303
207,3,7,piyux,很多,80;85,80;85
208,3,7,kya,那兒,39;55,39;55
209,3,8,miyuy,運動,307;311,307;311
210,3,8,mskotung,跳躍,310;318,310;318
211,3,8,slokah,健康,311,311
212,3,9,cugan,明天,314,314
213,3,9,myugi,跳舞,49;94,49;94
214,3,9,skotung,跳高,,
215,3,9,muʼ,射,,
216,3,9,lʼiy,箭,318,318
217,3,9,pcpung,比賽,214;313,214;313
218,3,10,mʼes,快樂,157;187,157;187
219,3,10,tmapak,拍,325,325
220,3,10,ʼba,手,,
221,3,10,biyux,屁股,260;324,260;324
222,3,10,pʼes,將快樂,326,326
223,3,10,msli,聚集,326,326
224,3,10,knan,我,325,325
225,3,11,pungan,聽,329,329
226,3,11,lubuw,口簧琴,328;329,328;329
227,3,11,knaley,製成,332,332
228,3,11,lmʼung,銅,333,333
229,3,11,lubuw beʼux,單簧,331,331
230,3,11,tlubuw,吹奏,334,334
231,3,11,ksyugey,借,334;335,334;335
232,3,11,ruma,竹子,295;333,295;333
233,3,11,mu,我的,7;11,7;11
234,3,12,cminun,織布,94;95,94;95
235,3,12,lukus,衣服,88;119,88;119
236,3,12,cbaʼiy,教導,340,340
237,3,12,cbaʼey,來教導,341,341
238,3,12,yihung,困難,342,342
239,3,12,laga,的時候,343,343
240,4,1,knbahan,孫子,,
241,4,1,knkyan,住過的,347;348,
242,4,1,hka,火塘,348,
243,4,1,hpuyan,煮東西,349,
244,4,1,plahan,取暖,,
245,4,1,kkyan,住起,350;356;520;522;589;757;790,
246,4,1,mhbil,漏洞,352,
247,4,1,ʼbagan,夏天,354;356,
248,4,1,kilux,熱,355;504,
249,4,1,tltuw,涼爽,356,
250,4,2,tlbugan,樂器,358;359;362,
251,4,2,ini baʼiy,不知道,,
252,4,2,pngo,馘首笛,363,
253,4,2,hkuy,音階,365,
254,4,2,lubuw tcingan khoniʼ,木琴,366,
255,4,3,mtasiy,綠色,373,
256,4,3,ptasan,紋路,371;374;376;377;736;737,
257,4,3,ini tnaʼ,不一樣,374,
258,4,3,bleʼun ci,很仔細,375,
259,4,3,lihuy,額頭,376;377;737,
260,4,3,blit,下額,,
261,4,3,pntasan,紋面,378,
262,4,3,patas,紋,379;823,
263,4,3,baha mcwa,因為,380;391,
264,4,3,hntagan,出生,381,
265,4,3,rema,已經,381,
266,4,3,puyut,消失,381;598,
267,4,4,sreyu,整理,384,
268,4,4,lmon,預先,385;544;546,
269,4,4,pnbaʼ,準備,385;393,
270,4,4,luyak,狩獵,383;385;386;545;582,
271,4,4,patus,獵槍,387,
272,4,4,lalow,獵刀,387,
273,4,4,bneluʼ,長茅,387,
274,4,4,binah,別的,388;663;750;763;779;792,
275,4,4,spiyang,重要,389;718;775,
276,4,4,rmow,幫忙,391;470;573;744;748;750;752;754;758;768;778;783;790;844,
277,4,4,bhiyow,追蹤,391,
278,4,4,sinuw,獵物,391;477;583;589;591,
279,4,4,tuʼiy,路,393,
280,4,5,ryax,日子,381;396;421;446;461;485;514;540;701;722;724;733,
281,4,5,kaxa,後天,396;398,
282,4,5,kyan,有,347;348;350;356;372;378,
283,4,5,laluʼ,什麼,359;364;384;386,
284,4,5,yow,事,389;391;397;425;426;435;440;457;461;466;477;484;489;519;523;536;538,
285,4,5,Cmyan,過新年,398;399,
286,4,5,smogan,想要,399,
287,4,5,mlawa,邀請,399,
288,4,5,n-gon,等到,,
289,4,6,bnaʼiy,買,,
290,4,6,ʼyaya tsalan,玩具,,
291,4,6,hknyun,找,409,
292,4,6,lmey,事先,412,
293,4,6,kmugus,梳,412,
294,4,6,bisyaʼ,很久,,
295,4,6,mnaga,等待,416;711;811;835,
296,4,7,knbleʼan,美好,,
297,4,7,mkal,交談,395;420;560,
298,4,7,oyat,幸福,418;421;428;670;521;535,
299,4,7,row,幫忙,,
300,4,7,tmuting,搥,422,
301,4,7,turu,背部,,
302,4,7,slpuw,唸,425,
303,4,7,pnʼyuwan,故事,,
304,4,7,syow,旁邊,425;426;457;466;489;563;818;823,
305,4,7,mnglung,覺得,428;433;472;484,
306,4,8,kgabi,晚飯,,
307,4,8,owas na lmuhuw,古調,434,
308,4,8,pnsgayan,遷徙,435,
309,4,8,plwanan,呼叫,437;710,
310,4,8,gbun,被抱,438,
311,4,8,tpakun,被拍,439,
312,4,8,miku,捏,443,
313,4,9,tegan,看到,436;448;529;807,
314,4,9,sʼutux,專注,,
315,4,9,sngusan,目的,450;654;666,
316,4,9,keʼan,話語,,
317,4,9,sʼunan,瀰漫,,
318,4,9,tkkoh,緊張,450,
319,4,9,kilgal,過程,451;626,
320,4,9,tmauʼan,結束,,
321,4,9,ʼnabu,獲獎,,
