ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References,,,,,,,,
121,2,6,yuki,尤給,205,,,,,,,,,
122,2,6,sgalu,疼惜,206,,,,,,,,,
123,2,7,pila,錢,44;55,,,,,,,,,
124,2,7,pusal,十,273,,,,,,,,,
125,2,7,baziy,買,219,,,,,,,,,
126,2,7,kwara,全部,51;136,,,,,,,,,
127,2,7,pyux,多,276,,,,,,,,,
128,2,7,tnaq,夠,219;222,,,,,,,,,
129,2,7,kaka,玩具,219;221,,,,,,,,,
130,2,8,pmyon,種植,,,,,,,,,,
131,2,8,kaway,李子,227;232,,,,,,,,,
132,2,8,ru,和,52;117,,,,,,,,,
133,2,8,yutak,橘子,228,,,,,,,,,
134,2,8,syon,喜歡,229,,,,,,,,,
135,2,8,lipis,枇杷,230;235,,,,,,,,,
136,2,8,bukil,桃子,231,,,,,,,,,
137,2,8,buquh,香蕉,231;234,,,,,,,,,
138,2,9,kshat,警察,238;246,,,,,,,,,
139,2,9,zboq,早,239,,,,,,,,,
140,2,9,sasal,清晨,239,,,,,,,,,
141,2,9,mʼuyayy,辛苦,,,,,,,,,,
142,2,9,kmiyap,抓,241,,,,,,,,,
143,2,9,yaqeh,壞,241,,,,,,,,,
144,2,9,squliq,人,45;50,,,,,,,,,
145,2,9,mlahang,保護,242;243,,,,,,,,,
146,2,10,tang,噹,249,,,,,,,,,
147,2,10,tehuq,到,,,,,,,,,,
148,2,10,spung,時間,250;255,,,,,,,,,
149,2,10,mpuw,閱讀,111;122,,,,,,,,,
150,2,10,qsuqi,遲到,248;252,,,,,,,,,
151,2,10,sʼangun,責備,254,,,,,,,,,
152,2,10,sinsi,老師,142;245,,,,,,,,,
153,2,11,tuliq,起來,261,,,,,,,,,
154,2,11,pima,洗,132;262,,,,,,,,,
155,2,11,rqyas,臉,262,,,,,,,,,
156,2,11,plukus,穿衣,131;262,,,,,,,,,
157,2,11,kyokay,教會,260;264,,,,,,,,,
158,2,11,rehay,禮拜,265;268,,,,,,,,,
159,2,12,biqan,給,272,,,,,,,,,
160,2,12,pila,錢,44;55,,,,,,,,,
161,2,12,qsuyan,兄長,52;244,,,,,,,,,
162,2,12,likuy,男,52;272,,,,,,,,,
163,2,12,mpuw,十,111;122,,,,,,,,,
164,2,12,mqas,高興,116;274,,,,,,,,,
165,2,12,skwan,存,277;278,,,,,,,,,
166,2,12,babaw,以後,276,,,,,,,,,
167,3,1,rangi,朋友,282;283,,,,,,,,,
168,3,1,myugi,跳舞,12;119,,,,,,,,,
169,3,1,kinbaqan,專長,286;319,,,,,,,,,
170,3,1,mgnaw,開玩笑,284,,,,,,,,,
171,3,1,msqun,在一起,287;336,,,,,,,,,
172,3,2,unrokay,運動會,289;290,,,,,,,,,
173,3,2,stoput twahiq,跳遠,292,,,,,,,,,
174,3,2,suxal,明天,,,,,,,,,,
175,3,2,san(mgluw),參加,,,,,,,,,,
176,3,2,pspung,比賽,291;292,,,,,,,,,
177,3,2,msbuʼ,射,,,,,,,,,,
178,3,2,slqiy,箭,294,,,,,,,,,
179,3,3,mcisal,玩,297,,,,,,,,,
180,3,3,Skikun,四季,,,,,,,,,,
181,3,3,Rayrogoʼ,大同鄉,,,,,,,,,,
182,3,3,pziʼ,玩,301;302,,,,,,,,,
