ID,Book課本,Lesson第幾課,tay泰雅語,zh_TW中文,參考例句Sentences Reference,可能例句 Possible References,,,,,,,,
512,6,5,Kmayan,哥麻樣,752,,,,,,,,,
513,6,5,Kbuta,哥布大,752,,,,,,,,,
514,6,5,Kmyabox,哥亞布戶,,,,,,,,,,
515,6,6,mrimuy,團聚,756,,,,,,,,,
516,6,6,rimuy,梨慕伊,756,,,,,,,,,
517,6,6,lahuy,聚集,762;808,,,,,,,,,
518,6,6,wagi,太陽,757,,,,,,,,,
519,6,6,strahuw,讚揚,,,,,,,,,,
520,6,6,kinlahang,庇護,758,,,,,,,,,
521,6,6,pagal,將要取,755;756;760,,,,,,,,,
522,6,6,qbuli,香火,759;789,,,,,,,,,
523,6,6,cinngasal,自家,755;759;763,,,,,,,,,
524,6,6,pqasay,將慶祝,759,,,,,,,,,
525,6,6,aras,帶來,753;760;761;798;808,,,,,,,,,
526,6,6,blaq,好,728;780;815;835,,,,,,,,,
527,6,6,ywaw,事,760;761;785;786;818,,,,,,,,,
528,6,6,uwah,要來,,,,,,,,,,
529,6,6,sheloq,冒黑煙,763,,,,,,,,,
530,6,6,mhoway,感謝,764,,,,,,,,,
531,6,6,utux,上帝,747;748;764;820;830,,,,,,,,,
532,6,7,psaniq,禁忌,767;770;810,,,,,,,,,
533,6,7,tmring,碰觸,772,,,,,,,,,
534,6,7,mquriq,偷竊,774,,,,,,,,,
535,6,7,kyubing,小氣,775,,,,,,,,,
536,6,7,qmol,搶佔,,,,,,,,,,
537,6,7,tksyaw,口出狂言,778,,,,,,,,,
538,6,7,hyapas,開玩笑,778,,,,,,,,,
539,6,7,mkiʼan,懷孕,779,,,,,,,,,
540,6,7,mbhku,幼小,779,,,,,,,,,
541,6,7,sʼari,貪心,776,,,,,,,,,
542,6,8,lukus,衣服,785,,,,,,,,,
543,6,8,pincbaqan,教導,,,,,,,,,,
544,6,8,cinmasan,沾染,788,,,,,,,,,
545,6,8,buq,汁液,788,,,,,,,,,
546,6,8,qmaci,薯榔,788,,,,,,,,,
547,6,8,inqwaxan,洗滌,789,,,,,,,,,
548,6,8,hkuy,衣角,790,,,,,,,,,
549,6,8,mayun,飾物,,,,,,,,,,
550,6,8,sgiwan,好比,791,,,,,,,,,
551,6,9,naras,曾帶,798;808,,,,,,,,,
552,6,9,nantow,南投,798,,,,,,,,,
553,6,9,tmwan,增加,812,,,,,,,,,
554,6,9,mnwah,曾去,,,,,,,,,,
555,6,9,taywan,台灣,805,,,,,,,,,
556,6,9,loziy,又,615,,,,,,,,,
557,6,10,rusa,陷阱,615;616;809,,,,,,,,,
558,6,10,mbhul,架設,809,,,,,,,,,
559,6,10,mʼwiy,累,,,,,,,,,,
560,6,10,tʼtu,鐵夾,,,,,,,,,,
561,6,10,thuyay,能夠,814,,,,,,,,,
562,6,10,qmayat,養育,814,,,,,,,,,
563,6,10,nkux,擔憂,819,,,,,,,,,
564,6,11,qqaya,工具,821;827;835,,,,,,,,,
565,6,11,tokan,背袋,607;656;822;823,,,,,,,,,
566,6,11,lalaw,刀子,823,,,,,,,,,
567,6,11,patus,槍,823,,,,,,,,,
568,6,11,blenuq,弓箭,,,,,,,,,,
569,6,11,pskulu,蒸,828,,,,,,,,,
570,6,11,tmahuk,煮,829,,,,,,,,,
571,6,12,kinblaq,最好的,835,,,,,,,,,
572,6,12,qqaya,東西,821;827;835,,,,,,,,,
573,6,12,kahul,從,836,,,,,,,,,
574,6,12,bniq,賜予,836,,,,,,,,,
575,6,12,llyung,流域,839;840,,,,,,,,,
576,6,12,klesal,南澳群,,,,,,,,,,
577,6,12,squliq,人,839,,,,,,,,,
578,6,12,balay,真的,837;841,,,,,,,,,
579,6,12,inlungan,內心,837,,,,,,,,,
580,6,12,showay,感恩,838;841,,,,,,,,,
581,6,12,mnibuw,溪頭群,840,,,,,,,,,
582,6,12,mshiyu,正直,842,,,,,,,,,
583,6,12,lungan,心,685;697;782;837;842,,,,,,,,,
584,6,12,pngsa,獻上,843,,,,,,,,,
585,6,12,qnxan,生活,843,,,,,,,,,
586,6,12,tninun,生命,843,,,,,,,,,
587,6,12,mbhoyaw,成長,843,,,,,,,,,
